SMILES,pKi IC50 Pi3K,pKi IC50 mTor,Water Solubility,Caco2 permeability,CYP1A2 inhibitor,CYP3A4 inhibitor,Total Clearance
Cc1ncnc(-c2ccc(cc2)C(=O)N2CCN3CCCCC3C2)c1C#Cc1ccc(N)nc1,7.091514981,7.769551079,-3.54,1.377,0,1,
Cc1ncnc(-c2ccc(cc2)C(C)(C)C#N)c1C#Cc1ccc(N)nc1,7.619788758,7.619788758,-3.864,1.302,1,1,0.798
Cc1ncnc(-c2ccc(cc2)S(C)(=O)=O)c1C#Cc1ccc(N)nc1,7.187086643,8.096910013,-3.535,0.274,1,1,0.899
Cc1ncnc(-c2ccc(nc2)C2CC2)c1C#Cc1ccc(N)nc1,7.366531544,7.244125144,-3.168,1.154,1,1,0.752
Cc1ncnc(-c2ccc(nc2)C(F)(F)F)c1C#Cc1ccc(N)nc1,,7.356547324,-3.465,1.27,1,1,0.267
Cc1ncnc(-c2ccc(nc2)N2CCCCC2)c1C#Cc1ccc(N)nc1,7.193820026,6.787812396,-3.303,1.227,1,1,0.653
Cc1ncnc(-c2cccc(c2)C(=O)N2CCOCC2)c1C#Cc1ccc(N)nc1,6.649751982,7.045757491,-3.566,,1,1,0.719
Cc1ncnc(-c2cnc3ccccc3c2)c1C#Cc1ccc(N)nc1,7.522878745,7.119186408,-3.372,1.295,1,1,0.77
Cc1ncnc(-c2ccccc2)c1C#Cc1ccc(N)nc1,7.408935393,7.522878745,-3.274,,1,1,0.752
Cc1ncnc(-c2ccc(cc2)C(=O)N2CCN(CC2)C2CCOCC2)c1C#Cc1ccc(N)nc1,7.187086643,8.522878745,-3.644,,0,1,0.435
Cc1ncnc(-c2ccc(cc2)C(=O)N2CCN(CC2)C2CCS(=O)(=O)C2)c1C#Cc1ccc(N)nc1,6.872895202,8.397940009,-3.548,0.074,0,1,0.027
Cc1ncnc(-c2ccc(cc2)C(=O)N2CCN(CCO)CC2)c1C#Cc1ccc(N)nc1,6.974694135,8.522878745,-3.5,-0.056,0,1,0.427
Cc1ncnc(-c2ccc(cc2)C(=O)N2CCN(CC2)c2ccccc2)c1C#Cc1ccc(N)nc1,7.173925197,8.397940009,-4.422,1.36,0,1,0.681
